,,,
EBS Volume,REGION :eu-west-1
VolumeId,Status,InstanceId,AttachTime,Size,Encryption_State
vol-07367de063f6aa797,available,N/A,N/A,40,False
vol-094bf1acd0826b3f8,available,N/A,N/A,40,False
vol-07fb0adde16c530ab,available,N/A,N/A,40,False
vol-01777ad369293b8bf,available,N/A,N/A,6,False
vol-0f925d9f6a1fc88d9,available,N/A,N/A,6,False
vol-04608040539c8db65,available,N/A,N/A,40,False
vol-0dda49bf689d4a3d9,available,N/A,N/A,6,False
vol-085df45e3d0060dae,available,N/A,N/A,6,False
vol-06f357b1ee2430878,available,N/A,N/A,40,False
vol-0740b59ad5e25493e,available,N/A,N/A,6,False
vol-0041c1e30a5eadbaa,available,N/A,N/A,6,False
vol-09220a735db9bef6d,available,N/A,N/A,40,False
vol-0dc714e1a6f9d4315,available,N/A,N/A,40,False
vol-0da675aa76561307d,available,N/A,N/A,40,False
vol-0668ba2681896b77a,available,N/A,N/A,6,False
vol-0b9cc4273688071c5,available,N/A,N/A,6,False
vol-0acefc2f6158d4f85,available,N/A,N/A,6,False
vol-0bbb8d5515d0316ed,available,N/A,N/A,40,False
vol-045b752a5867ddad0,available,N/A,N/A,40,False
vol-0f30bdfbf4e14ed19,in-use,i-0c9012a567aaa3436,2018-08-01 14:53:25+00:00,50,False
vol-0cbb6427d22533c5f,available,N/A,N/A,40,False
